school,sex,age,reason,failures,Walc,absences,G1,FinalScore
GP,F,18,course,0,1,6,5,6
GP,F,17,course,0,1,4,5,6
GP,F,15,other,3,3,10,7,10
GP,F,15,home,0,1,2,15,15
GP,F,16,home,0,2,4,6,10
GP,M,16,reputation,0,2,10,15,15
GP,M,16,home,0,1,0,12,11
GP,F,17,home,0,1,6,6,6
GP,M,15,home,0,1,0,16,19
GP,M,15,home,0,1,0,14,15
GP,F,15,reputation,0,2,0,10,9
GP,F,15,reputation,0,1,4,10,12
GP,M,15,course,0,3,2,14,14
GP,M,15,course,0,2,2,10,11
GP,M,15,home,0,1,0,14,16
GP,F,16,home,0,2,4,14,14
GP,F,16,reputation,0,2,6,13,14
GP,F,16,reputation,0,1,4,8,10
GP,M,17,course,3,4,16,6,5
GP,M,16,home,0,3,4,8,10
GP,M,15,reputation,0,1,0,13,15
GP,M,15,other,0,1,0,12,15
GP,M,16,course,0,3,2,15,16
GP,M,16,reputation,0,4,0,13,12
GP,F,15,course,0,1,2,10,8
GP,F,16,home,2,3,14,6,8
GP,M,15,home,0,2,2,12,11
GP,M,15,other,0,4,4,15,15
GP,M,16,home,0,1,4,11,11
GP,M,16,home,0,5,16,10,11
GP,M,15,home,0,4,0,9,12
GP,M,15,reputation,0,1,0,17,17
GP,M,15,course,0,1,0,17,16
GP,M,15,course,0,1,0,8,12
GP,M,16,home,0,1,0,12,15
GP,F,15,other,0,1,0,8,6
GP,M,15,home,0,1,2,15,18
GP,M,16,reputation,0,1,7,15,15
GP,F,15,course,0,1,2,12,11
GP,F,15,reputation,0,1,8,14,13
GP,F,16,home,1,2,25,7,11
GP,M,15,home,0,4,8,12,12
GP,M,15,course,0,1,2,19,18
GP,M,15,course,0,1,0,8,11
GP,F,16,course,1,2,14,10,9
GP,F,15,course,0,1,8,8,6
GP,F,16,home,0,4,12,11,11
GP,M,16,reputation,0,1,4,19,20
GP,M,15,home,0,2,2,15,14
GP,F,15,other,1,1,2,7,7
GP,F,16,course,0,3,2,12,13
GP,F,15,other,0,1,2,11,13
GP,M,15,other,1,4,6,11,10
GP,F,15,course,0,3,0,8,11
GP,F,15,other,0,4,6,10,13
GP,F,16,other,0,1,8,8,10
GP,F,15,reputation,0,1,0,14,15
GP,M,15,reputation,0,1,4,14,15
GP,M,15,home,0,1,2,9,9
GP,F,16,course,0,1,2,15,16
GP,F,16,other,0,3,6,10,11
GP,F,16,course,0,5,6,10,11
GP,F,16,reputation,0,1,4,8,9
GP,F,16,home,0,4,2,10,9
GP,F,15,reputation,0,4,0,10,10
GP,F,16,course,0,2,2,16,15
GP,M,15,reputation,0,5,4,13,12
GP,F,16,course,0,2,4,7,6
GP,F,15,reputation,0,3,2,8,8
GP,F,15,reputation,0,3,12,16,16
GP,M,16,reputation,0,1,0,13,15
GP,M,15,course,0,1,0,10,10
GP,F,15,reputation,2,4,2,8,5
GP,M,16,reputation,0,2,2,12,14
GP,F,16,home,0,4,54,11,11
GP,M,15,home,0,3,6,9,10
GP,M,15,course,0,1,8,11,10
GP,F,16,reputation,0,3,0,11,11
GP,M,17,home,3,1,2,8,10
GP,F,16,course,0,2,12,5,5
GP,M,15,course,0,3,2,10,12
GP,M,15,home,0,2,4,11,11
GP,F,15,reputation,0,1,10,7,6
GP,M,15,home,0,3,4,15,15
GP,F,15,home,0,3,2,9,10
GP,F,15,reputation,2,3,6,7,8
GP,F,16,course,0,2,4,8,6
GP,F,15,reputation,0,3,4,13,14
GP,M,16,reputation,1,1,12,11,10
GP,M,16,reputation,0,5,18,8,7
GP,F,16,home,0,3,0,7,8
GP,F,15,reputation,0,3,4,16,18
GP,F,16,home,0,3,4,7,6
GP,F,16,home,0,1,0,11,10
GP,M,15,reputation,0,1,6,11,14
GP,F,15,home,1,1,2,7,10
GP,M,16,reputation,0,1,2,11,15
GP,F,16,course,0,1,2,8,10
GP,F,16,reputation,0,2,6,11,14
GP,F,16,course,0,1,0,7,8
GP,M,16,other,0,5,14,7,5
GP,M,16,other,0,1,0,16,17
GP,M,15,course,0,1,4,10,14
GP,F,15,home,0,1,26,7,6
GP,M,15,course,0,1,0,16,18
GP,F,15,reputation,0,1,10,10,11
GP,F,15,course,0,1,8,7,8
GP,M,16,home,0,1,2,16,18
GP,M,15,home,0,5,6,10,13
GP,F,16,other,0,1,4,14,16
GP,M,15,course,0,1,6,18,19
GP,F,16,reputation,1,1,0,7,10
GP,F,16,home,1,1,6,10,13
GP,M,15,course,0,1,10,18,19
GP,M,15,reputation,0,1,8,9,9
GP,M,16,course,0,2,2,15,16
GP,M,15,reputation,0,1,2,11,14
GP,M,16,home,0,1,0,13,13
GP,M,17,course,1,4,20,9,8
GP,M,15,reputation,0,2,6,14,13
GP,F,15,course,0,2,2,16,15
GP,M,15,home,0,2,6,16,15
GP,F,16,course,0,2,2,13,13
GP,M,16,course,0,4,18,14,13
GP,F,16,home,0,1,0,8,8
GP,M,15,home,0,2,0,13,12
GP,F,15,home,0,1,0,7,11
GP,F,19,course,3,1,2,7,9
GP,M,18,reputation,2,2,0,7,0
GP,M,16,course,0,5,8,18,18
GP,F,15,course,2,2,0,12,0
GP,F,15,course,0,2,0,8,0
GP,F,17,course,0,3,12,10,12
GP,F,16,course,0,4,16,12,11
GP,M,15,course,0,1,0,9,0
GP,F,15,course,0,1,0,11,0
GP,M,17,course,0,4,0,10,0
GP,F,16,course,2,1,0,4,0
GP,M,16,course,1,3,0,14,12
GP,F,15,course,0,1,0,16,15
GP,M,15,course,0,1,0,7,0
GP,M,16,reputation,2,2,8,9,9
GP,F,15,course,0,1,2,9,11
GP,F,16,course,0,3,2,14,13
GP,M,17,home,3,2,0,5,0
GP,F,15,course,0,2,0,8,11
GP,F,15,home,3,1,0,6,0
GP,F,15,course,0,1,2,10,11
GP,M,16,course,0,1,0,7,0
GP,M,15,course,3,5,0,8,10
GP,M,18,course,3,5,0,6,0
GP,M,16,course,1,5,6,12,14
GP,F,15,reputation,2,3,8,10,10
GP,M,19,home,3,1,0,5,0
GP,F,17,course,0,1,0,11,12
GP,M,15,course,0,1,2,11,8
GP,M,17,reputation,0,3,8,16,13
GP,F,18,course,3,5,6,9,10
GP,M,16,course,0,2,2,17,15
GP,M,16,course,1,4,4,10,12
GP,M,17,course,2,2,0,7,0
GP,M,15,course,2,4,6,5,7
GP,M,16,course,1,4,0,7,0
GP,M,17,course,0,4,2,10,10
GP,M,17,course,3,5,0,5,7
GP,M,16,course,1,1,16,12,12
GP,M,16,course,0,4,4,10,10
GP,F,16,home,0,1,0,14,16
GP,F,16,home,0,1,0,6,0
GP,F,16,reputation,0,1,0,14,14
GP,M,16,course,2,4,0,6,0
GP,M,16,reputation,0,1,2,13,16
GP,M,17,reputation,0,3,0,13,10
GP,F,16,home,3,1,0,8,0
GP,F,16,reputation,0,1,4,10,9
GP,M,17,course,0,4,4,10,9
GP,F,16,reputation,0,4,2,13,11
GP,M,17,reputation,0,4,4,6,6
GP,M,16,other,0,4,10,10,9
GP,M,17,course,0,1,4,10,11
GP,M,16,home,0,3,10,9,8
GP,M,16,home,0,2,2,12,12
GP,F,17,reputation,0,3,0,16,17
GP,F,17,reputation,0,3,56,9,8
GP,F,16,reputation,0,2,14,12,12
GP,M,17,other,0,3,12,12,11
GP,M,16,other,0,2,2,11,11
GP,M,16,course,0,2,0,15,15
GP,F,17,reputation,0,3,6,8,9
GP,M,17,home,0,5,4,8,10
GP,F,16,course,0,1,10,11,13
GP,F,17,course,0,1,0,8,9
GP,M,17,other,0,5,12,7,8
GP,M,16,reputation,0,4,8,8,10
GP,M,16,home,0,1,0,13,14
GP,F,17,course,0,1,0,14,15
GP,M,17,home,0,2,4,17,16
GP,M,16,home,0,5,8,9,10
GP,F,17,home,1,3,24,18,18
GP,F,16,reputation,0,2,0,9,10
GP,F,16,home,0,5,2,16,16
GP,F,16,reputation,0,3,6,8,10
GP,F,17,course,0,3,4,9,10
GP,F,17,reputation,0,2,18,7,6
GP,F,16,reputation,0,1,6,10,11
GP,F,17,home,1,4,28,10,9
GP,F,16,course,3,2,5,7,7
GP,F,16,other,0,1,10,11,13
GP,F,16,home,0,4,6,9,10
GP,F,17,reputation,0,1,6,7,7
GP,F,19,reputation,0,2,10,8,8
GP,M,17,home,0,5,13,12,13
GP,F,16,reputation,0,1,0,12,14
GP,M,18,home,1,4,15,6,8
GP,F,17,other,0,2,12,8,10
GP,F,17,reputation,0,3,2,14,15
GP,F,17,reputation,2,4,22,6,4
GP,M,18,home,1,4,13,6,8
GP,F,17,home,0,4,3,7,8
GP,F,17,course,0,1,4,9,10
GP,F,17,reputation,0,2,2,6,6
GP,F,17,reputation,1,1,0,6,0
GP,F,16,other,0,1,2,16,17
GP,M,18,home,0,5,0,12,13
GP,F,16,home,0,1,0,13,14
GP,F,18,reputation,1,1,16,9,7
GP,F,17,course,0,3,10,16,15
GP,M,17,reputation,0,3,2,12,12
GP,M,18,course,0,5,14,10,9
GP,F,17,course,0,2,10,12,12
GP,F,17,reputation,0,2,14,13,14
GP,M,17,course,0,1,4,11,11
GP,M,17,reputation,0,3,14,11,9
GP,M,16,reputation,0,4,2,14,13
GP,M,16,home,0,1,18,9,6
GP,M,16,reputation,0,3,10,11,10
GP,M,17,home,0,5,4,14,13
GP,F,16,home,0,1,20,13,12
GP,F,17,course,0,1,2,13,11
GP,M,18,reputation,1,5,0,7,0
GP,M,17,course,0,4,14,12,12
GP,M,17,course,0,3,2,10,12
GP,M,16,course,0,1,0,6,0
GP,M,16,course,0,2,0,13,12
GP,F,18,course,0,1,0,7,0
GP,M,16,course,0,1,6,18,18
GP,M,17,course,0,1,4,12,13
GP,M,22,other,3,5,16,6,8
GP,M,18,course,1,3,8,3,5
GP,M,16,other,0,4,0,13,15
GP,M,18,course,1,4,0,6,8
GP,M,16,reputation,0,3,6,7,10
GP,M,18,other,1,5,4,6,8
GP,M,16,course,0,3,0,8,8
GP,M,17,course,0,4,0,8,12
GP,M,17,course,1,2,2,7,8
GP,F,17,reputation,0,1,6,14,13
GP,M,19,reputation,0,1,12,11,11
GP,M,18,home,0,2,8,15,14
GP,F,17,course,0,1,0,10,0
GP,F,18,home,0,3,21,17,18
GP,M,18,course,0,1,2,8,8
GP,M,18,course,0,1,1,13,12
GP,F,17,home,0,1,4,10,9
GP,F,18,home,0,1,0,9,0
GP,M,18,reputation,0,4,13,17,17
GP,M,17,other,0,4,2,9,10
GP,F,18,reputation,0,2,8,12,11
GP,M,18,reputation,0,3,10,10,10
GP,F,18,reputation,0,2,0,6,0
GP,F,19,home,2,3,15,9,9
GP,F,18,reputation,0,3,4,15,14
GP,F,18,home,0,1,2,11,11
GP,M,17,home,0,2,2,15,14
GP,F,17,reputation,0,1,2,10,10
GP,F,17,course,0,3,6,12,12
GP,F,18,home,0,1,75,10,9
GP,M,18,home,0,4,22,9,9
GP,F,18,reputation,1,1,15,9,8
GP,M,18,course,0,2,8,10,10
GP,M,17,home,0,4,30,8,8
GP,M,17,home,1,4,19,11,10
GP,F,18,reputation,0,1,1,12,12
GP,F,18,home,0,1,4,8,10
GP,F,17,course,0,2,4,10,11
GP,M,17,reputation,0,2,2,12,11
GP,F,18,other,0,2,5,18,19
GP,F,17,reputation,0,1,6,13,12
GP,M,18,reputation,0,3,6,15,14
GP,M,18,reputation,0,1,9,15,15
GP,M,18,home,0,4,11,12,11
GP,F,17,reputation,0,2,0,15,15
GP,F,18,reputation,1,1,12,12,13
GP,F,17,reputation,0,1,6,18,18
GP,M,18,reputation,0,1,8,14,14
GP,M,17,home,0,3,4,14,11
GP,F,19,reputation,0,3,0,10,0
GP,F,18,home,0,2,10,10,8
GP,F,18,reputation,0,1,0,14,14
GP,M,18,home,0,2,5,16,16
GP,F,18,home,0,1,14,12,11
GP,M,17,home,0,2,0,11,10
GP,F,17,reputation,0,1,0,15,14
GP,F,17,reputation,0,2,0,17,18
GP,M,19,home,1,1,20,15,13
GP,F,18,reputation,1,1,8,14,12
GP,M,20,course,0,1,0,17,18
GP,M,19,reputation,1,1,38,8,8
GP,M,19,reputation,1,2,0,15,12
GP,F,19,reputation,1,3,18,12,10
GP,F,19,home,1,2,0,9,0
GP,F,19,other,0,1,20,14,13
GP,M,19,course,1,2,3,13,11
GP,F,19,reputation,1,2,22,13,11
GP,F,19,home,2,1,14,15,13
GP,F,19,reputation,1,1,40,13,11
GP,F,18,course,0,2,0,8,0
GP,F,18,course,0,1,9,9,9
GP,F,17,course,0,5,0,11,10
GP,F,18,course,0,3,2,11,11
GP,F,17,course,0,2,23,13,13
GP,F,17,course,0,1,12,11,9
GP,F,17,course,0,2,3,11,11
GP,F,17,course,0,3,1,12,15
GP,F,17,home,0,3,0,16,15
GP,M,18,course,0,2,3,9,11
GP,M,17,reputation,0,5,3,14,16
GP,M,17,course,0,5,8,11,10
GP,F,17,course,0,3,7,10,9
GP,F,17,course,0,2,4,14,14
GP,M,18,course,0,4,2,9,8
GP,F,17,course,0,1,7,12,14
GP,F,18,home,0,1,0,7,0
GP,F,18,home,0,1,0,8,0
GP,F,18,course,0,1,0,10,0
GP,F,17,course,0,3,16,16,15
GP,F,19,home,1,2,12,14,13
GP,F,17,home,0,3,0,7,0
GP,F,18,home,0,1,7,16,17
GP,F,17,home,0,3,4,9,10
GP,F,19,home,1,3,4,11,11
GP,M,18,home,1,2,0,10,0
GP,M,18,home,0,3,11,16,15
GP,F,17,home,1,2,0,9,0
GP,F,18,course,0,2,4,11,10
GP,F,18,other,0,3,7,13,14
GP,M,18,course,0,2,9,16,16
GP,M,18,course,0,3,0,10,9
GP,F,17,reputation,0,3,0,13,15
MS,M,18,course,1,5,10,11,13
MS,M,19,home,3,3,8,8,8
MS,M,17,course,0,3,2,13,13
MS,M,18,course,1,3,7,8,8
MS,M,19,home,1,3,4,8,8
MS,M,17,home,0,3,4,13,11
MS,F,18,course,0,1,0,10,9
MS,F,17,other,0,2,4,12,13
MS,F,17,reputation,0,2,2,12,11
MS,M,18,home,0,2,4,10,10
MS,F,18,course,0,1,0,18,16
MS,F,18,course,0,4,0,13,13
MS,M,18,other,1,3,2,13,12
MS,F,18,other,0,3,0,11,10
MS,F,17,course,0,1,0,16,15
MS,F,17,course,0,2,0,12,12
MS,M,18,course,0,4,4,10,10
MS,M,18,other,0,2,0,13,13
MS,F,17,reputation,1,2,0,7,0
MS,F,18,course,0,2,0,11,10
MS,F,18,other,0,2,10,14,11
MS,F,19,home,2,1,4,7,9
MS,M,18,other,0,3,3,14,12
MS,F,17,home,0,1,8,13,11
MS,F,17,course,0,3,14,6,5
MS,F,18,reputation,0,1,0,19,19
MS,F,18,home,0,2,2,8,10
MS,F,20,course,2,1,4,15,15
MS,F,18,course,0,4,4,8,10
MS,F,18,home,0,2,0,15,15
MS,F,17,reputation,0,3,17,10,10
MS,M,18,home,0,4,4,15,14
MS,M,18,other,0,3,5,7,7
MS,M,17,home,0,1,2,11,10
MS,M,19,other,1,3,0,6,0
MS,M,18,home,1,3,14,6,5
MS,F,18,other,0,3,2,10,10
MS,F,18,reputation,0,2,7,6,6
MS,F,19,course,1,2,0,7,0
MS,F,18,course,0,1,0,7,8
MS,F,18,course,1,1,0,6,0
MS,M,20,course,2,5,11,9,9
MS,M,17,course,0,4,3,14,16
MS,M,21,course,3,3,3,10,7
MS,M,18,course,0,4,0,11,10
MS,M,19,course,0,3,5,8,9
