WEINSAEU,ESSAEU,ZTROSAEU,RESTZUCKER,CHLORIDE,DICHTE,PH,SULFAT,ALKOHOL,SORTE
"6,8","0,26","0,56","11,9","0,043","0,997","3,02","0,63","9,3",4
"7,1","0,26","0,31","2,2","0,044","0,9937","3,34","0,64","10,9",3
"6,3","0,27","0,23","2,9","0,047","0,9936","3,28","0,43","9,8",1
"7,3","0,24","0,3","2,5","0,042","0,9911","3,05","0,56","11,3",3
7,"0,36","0,32","10,5","0,045","0,9935","3,09","0,33","11,6",2
"6,4","0,23","0,37","7,9","0,05","0,99488","2,86","0,49","9,3",1
"6,6","0,26","0,46","7,8","0,047","0,9958","3,2","0,54","9,1",1
"5,9","0,34","0,31",2,"0,03","0,98892","3,4","0,41","12,9",4
"7,8","0,3","0,36","4,6","0,024","0,99222","3,06","0,66","11,9",4
"6,5","0,2","0,31","2,1","0,033","0,989435","2,96","0,61",12,4
"6,7","0,25","0,34","12,85","0,048","0,9986","3,44","0,47","9,5",1
"5,1","0,42","0,01","1,5","0,017","0,9894","3,38","0,36","12,3",3
"9,4","0,3","0,32","10,7","0,029","0,9958","2,85","0,42","10,6",1
"6,2","0,22","0,27","1,5","0,064","0,9938","3,22","0,46","9,2",1
"7,6","0,32","0,25","9,5","0,03","0,99367","3,1","0,44","12,1",4
"5,2","0,25","0,23","1,4","0,047","0,99001","3,32","0,62","11,4",2
"6,8","0,26","0,44","8,2","0,046","0,99584","3,2","0,51","9,4",3
"6,6","0,22","0,37","15,4","0,035","0,99845","3,02","0,4","9,3",2
"5,5","0,16","0,26","1,5","0,032","0,99076","3,43","0,77",12,4
"6,9","0,19","0,35","13,5","0,038","0,99546",3,"0,63","10,7",3
"5,8","0,555","0,26","4,5","0,053","0,9943","3,24","0,46","9,1",1
"8,9","0,13","0,49",1,"0,028","0,9926","2,91","0,32","9,9",3
"5,9","0,14","0,2","1,6","0,04","0,99105","3,25","0,45","11,4",4
"8,1","0,28","0,39","1,9","0,029","0,9923","3,23","0,52","11,8",3
7,"0,22","0,28","10,6","0,039","0,99355","3,05","0,55","11,5",1
"7,4","0,25","0,49","1,1","0,042","0,9917","3,13","0,55","11,3",3
"7,3","0,24","0,34","15,4","0,05","0,9983","3,03","0,42",9,2
"6,7","0,37","0,25","2,5","0,028","0,9909","3,14","0,36","11,7",3
"6,9","0,22","0,49",7,"0,063","0,9957","3,54","0,5","10,3",3
"8,6","0,265","0,36","1,2","0,034","0,9913","2,95","0,36","11,4",4
"6,7","0,18","0,3","6,4","0,048","0,9956","3,29","0,52",10,2
6,"0,21","0,29","13,1","0,042","0,99936","3,39","0,45","8,6",1
"6,3","0,41","0,33","4,7","0,023","0,991","3,3","0,38","12,5",4
"6,7","0,45","0,3","5,3","0,036","0,99122","3,12","0,46","12,2",3
6,"0,24","0,32","6,3","0,03","0,9946","3,52","0,41","10,4",4
6,"0,18","0,31","1,4","0,036","0,99085","3,34","0,58","11,1",3
8,"0,37","0,32","1,6","0,04","0,992",3,"0,55","11,3",4
"7,8","0,25","0,34","13,7","0,044","0,99976","3,22","0,75","8,9",3
"7,9","0,22","0,49","3,8","0,042","0,993","3,1","0,39","10,5",1
"8,5","0,19","0,49","3,5","0,044","0,9938","3,14","0,51","10,1",3
7,"0,15","0,34","1,4","0,039","0,9927","3,32","0,62","10,8",1
"5,5","0,62","0,33","1,7","0,037","0,98758","3,15","0,39","13,55",4
"6,7","0,13","0,57","6,6","0,056","0,99548","2,96","0,43","9,4",1
"6,6","0,34","0,2",1,"0,053","0,99336","3,32","0,55","9,1",1
"7,4","0,3","0,22","5,25","0,053","0,9926","3,13","0,45","11,6",2
"6,6","0,27","0,25","1,2","0,033","0,98918","3,16","0,37","12,4",4
"6,7","0,42","0,46","9,7","0,054","0,99848","3,23","0,5",9,3
"7,5","0,26","0,31","1,6","0,032","0,99044","2,97","0,43","11,9",3
"7,1","0,47","0,29","14,8","0,024","0,99518","3,12","0,48",12,4
"6,6","0,3","0,3","4,8","0,17","0,9946","3,18","0,47","9,4",1
8,"0,23","0,41","1,1","0,048","0,99168","3,09","0,47","11,2",3
"6,6","0,22","0,36","5,5","0,029","0,99206","3,2","0,47","11,8",3
7,"0,31","0,26","7,4","0,069","0,9954","3,13","0,46","9,8",2
"6,8","0,26","0,22","4,8","0,041","0,99437","3,29","0,67","10,6",2
"8,1","0,3","0,49","8,1","0,037","0,9943","3,1","0,3","11,2",3
"6,4","0,105","0,29","1,1","0,035","0,99142","3,17","0,55","10,7",2
"6,3","0,24","0,29","1,6","0,052","0,9934","3,21","0,5","9,4",1
"7,5","0,42","0,34","4,3","0,04","0,99155","3,14","0,45","12,8",4
"5,1","0,35","0,26","6,8","0,034","0,99188","3,38","0,4","11,5",4
"5,9","0,29","0,16","7,9","0,044","0,99512","3,21","0,36","9,4",2
"6,1","0,31","0,37","8,4","0,031","0,9934","3,42","0,4","11,7",3
"5,6","0,175","0,29","0,8","0,043","0,99112","3,28","0,48","9,9",3
"6,4","0,31","0,31","12,9","0,045","0,99546","3,02","0,59","10,2",4
"7,7","0,39","0,28","4,9","0,035","0,9918","3,19","0,58","12,2",3
"6,1","0,2","0,4","1,9","0,028","0,9914","3,26","0,72","11,7",2
"6,7","0,26","0,39","6,4","0,171","0,99562","3,19","0,38","9,4",3
8,"0,66","0,72","17,55","0,042","0,9999","2,92","0,68","9,4",1
"7,5","0,21","0,34","1,2","0,06","0,9931","3,51","0,47","10,7",3
"5,6","0,29","0,05","0,8","0,038","0,9924","3,36","0,35","9,2",3
"6,8","0,27","0,26","16,1","0,049","0,9984","3,15","0,5","9,3",1
"5,6","0,35","0,37",1,"0,038","0,9902","3,37","0,34","11,4",4
"6,5","0,43","0,31","3,6","0,046","0,99022","3,15","0,34",12,4
"7,4","0,22","0,28",9,"0,046","0,99468","3,1","0,55","10,8",3
"6,7","0,2","0,24","6,5","0,044","0,99348","3,12","0,33","10,2",4
"6,6","0,27","0,52","8,1","0,044","0,99548","3,18","0,48","9,5",3
"7,4","0,18","0,34","2,7","0,03","0,992","2,97","0,53",11,2
"7,4","0,105","0,34","12,2","0,05","0,9973","3,16","0,37",9,1
"5,7","0,36","0,34","4,2","0,026","0,9907","3,41","0,45","11,9",3
"6,4","0,21","0,5","11,6","0,042","0,9972","3,15","0,43","8,8",2
"5,9","0,21","0,31","1,8","0,033","0,98984","3,35","0,5","12,7",2
"8,6","0,34","0,36","1,4","0,045","0,99556","3,17","0,47","9,4",3
"5,9","0,24","0,26","12,3","0,053","0,9972","3,34","0,45","9,5",2
"6,4","0,25","0,3","5,5","0,038","0,9948","3,14","0,49","9,6",2
7,"0,21","0,28","7,5","0,07","0,9966","3,34","0,55","9,4",2
"6,2","0,25","0,54",7,"0,046","0,99454","3,19","0,7","10,4",1
"6,2","0,29","0,23","12,4","0,048","0,99612","3,11","0,56","9,9",3
"5,7","0,18","0,22","4,2","0,042","0,994","3,35","0,39","9,4",2
"7,9","0,44","0,37","5,85","0,033","0,992","3,16","0,54","12,6",2
"7,7","0,38","0,4",2,"0,038","0,9906","3,18","0,32","12,9",4
"7,8","0,26","0,31","3,6","0,025","0,99066","2,99","0,47","12,1",4
"6,4","0,31","0,53","8,8","0,057","0,99642","3,17","0,44","9,1",1
"7,6","0,23","0,34","1,6","0,043","0,99305","3,12","0,7","10,4",3
5,"0,2","0,4","1,9","0,015","0,9897","3,37","0,55","12,05",4
"8,2","0,34","0,49",8,"0,046","0,996","3,08","0,52","10,7",3
"6,6","0,17","0,35","2,6","0,03","0,99146","3,22","0,72","11,3",4
"7,1","0,25","0,3","2,4","0,042","0,994","3,43","0,61","10,5",4
6,"0,2","0,26","6,8","0,049","0,9928","3,15","0,42",11,4
"6,6","0,23","0,37","8,5","0,036","0,99576","3,2","0,48","9,4",1
"5,5","0,17","0,23","2,9","0,039","0,99243","3,28","0,5",10,3
"6,9","0,16","0,37","1,8","0,034","0,98952","2,93","0,59",12,2
6,"0,555","0,26","4,5","0,053","0,9943","3,24","0,46","9,1",2
"7,7","0,39","0,3","5,2","0,037","0,9943","3,38","0,44",11,4
"7,7","0,15","0,29","1,3","0,029","0,9932","3,35","0,39","10,1",2
"5,8","0,18","0,28","1,3","0,034","0,99092","3,21","0,52","11,2",3
"6,6","0,33","0,4","2,65","0,041","0,98916","3,11","0,39","13,3",4
"6,2","0,24","0,29","13,3","0,039","0,9952","3,33","0,46",11,3
"6,6","0,27","0,41","1,3","0,052","0,9951","3,42","0,47",10,2
"6,4","0,38","0,24","7,2","0,047","0,99604","3,11","0,6","9,2",2
"5,7","0,21","0,24","2,3","0,047","0,995","3,65","0,72","10,1",2
"7,4","0,4","0,41","14,1","0,053","0,99886","3,2","0,63","9,4",2
"7,2","0,24","0,29","2,2","0,037","0,992","3,27","0,64",11,2
"6,3","0,23","0,33","6,9","0,052","0,9938","3,23","0,46","10,4",2
"7,6","0,2","0,3","14,2","0,056","0,999","3,14","0,46","8,9",1
7,"0,23","0,26","7,2","0,041","0,99509","3,22","0,55","9,5",4
"6,8","0,25","0,34","4,7","0,031","0,9927","3,21","0,38","10,6",2
"7,2","0,24","0,27","1,4","0,038","0,9927","3,15","0,46","10,3",3
"5,8","0,25","0,24","13,3","0,044","0,9972","3,34","0,42","9,5",1
"6,2","0,27","0,32","6,3","0,048","0,99282","3,21","0,6",11,4
"6,1","0,34","0,31",12,"0,053","0,9977","3,16","0,48","8,6",2
"7,9","0,16","0,3","4,8","0,037","0,9967","3,47","0,44",9,1
"7,7","0,31","0,36","4,3","0,026","0,99152","3,11","0,48",12,3
"5,4","0,29","0,38","1,2","0,029","0,98895","3,28","0,36","12,4",4
"7,7","0,3","0,32","1,6","0,037","0,9919","2,93","0,33",11,2
"4,8","0,225","0,38","1,2","0,074","0,99132","3,31","0,4","10,3",3
"7,5","0,14","0,34","1,3","0,055","0,9945","3,29","0,8","9,6",2
"5,2","0,16","0,34","0,8","0,029","0,99155","3,25","0,51","10,1",3
"5,4","0,15","0,32","2,5","0,037","0,98878","3,04","0,58","12,6",3
"7,2","0,34","0,3","8,4","0,051","0,99756","3,48","0,62","9,7",2
"5,5","0,24","0,32","8,7","0,06","0,994","3,27","0,31","10,4",1
"10,7","0,22","0,56","8,2","0,044","0,998","2,87","0,68","9,5",3
"6,9","0,33","0,26",5,"0,027","0,9924","3,25","0,43","11,2",2
"5,9","0,37","0,3","1,5","0,033","0,98986","3,36","0,56",12,2
"7,6","0,17","0,27","4,6","0,05","0,99422","3,08","0,47","9,5",2
"7,2","0,24","0,36",2,"0,029","0,99076","3,13","0,63","12,5",3
"7,1","0,23","0,39","13,7","0,058","0,99755","2,9","0,46",9,1
"6,2","0,22","0,49",6,"0,029","0,9928","3,41","0,36","11,3",4
"6,8","0,26","0,22","7,7","0,047","0,9959","3,1","0,47",9,1
"7,2","0,19","0,31","1,4","0,046","0,9939","3,34","0,57","10,2",3
"6,9","0,28","0,37","9,1","0,037","0,9948","3,05","0,54","11,1",4
"6,4","0,27","0,29","3,9","0,034","0,99237","3,1","0,59","11,1",3
7,"0,29","0,49","3,8","0,047","0,9938","2,95","0,4","9,4",1
6,"0,1","0,24","1,1","0,041","0,9927","3,61","0,61","10,3",3
"9,3","0,34","0,49","7,3","0,052","0,998","3,17","0,61","10,2",2
"8,2","0,4","0,48","13,7","0,042","0,9986","3,1","0,52","9,4",1
"6,7","0,15","0,32","7,9","0,034","0,99512","3,29","0,31",10,3
"7,2","0,32","0,4","8,7","0,038","0,99568","3,2","0,47","10,4",1
6,"0,34","0,29","6,1","0,046","0,99462","3,48","0,57","10,7",4
"6,1","0,22","0,25","12,1","0,035","0,99481","3,21","0,4","10,7",4
"6,7","0,15","0,29",5,"0,058","0,9946","3,52","0,44","10,2",4
"5,6","0,41","0,22","7,1","0,05","0,9931","3,3","0,4","10,5",4
"7,1","0,28","0,19","7,8","0,04","0,99579","3,16","0,5","9,4",2
6,"0,36","0,39","3,2","0,027","0,991","3,38","0,39","11,3",3
"7,9","0,25","0,35","6,7","0,039","0,99362","2,93","0,49","10,7",1
9,"0,2","0,33","3,5","0,049","0,9944","3,14","0,36","9,8",4
"6,1","0,22","0,49","1,5","0,051","0,9928","3,3","0,46","9,6",1
"6,6","0,38","0,18","1,2","0,042","0,9927","3,22","0,45","10,1",3
"6,7","0,24","0,35","13,1","0,05","0,997","3,15","0,5","9,5",3
"7,8","0,26","0,74","7,5","0,044","0,996","3,22","0,64",10,2
"6,7","0,5","0,63","13,4","0,078","0,9988","3,08","0,44","9,2",2
7,"0,26","0,34","10,9","0,038","0,99432","3,11","0,34","10,9",2
"6,7","0,39","0,24","2,7","0,017","0,99084","3,03","0,37","11,5",4
"6,6","0,21","0,29","1,8","0,026","0,99183","3,37","0,48","11,2",4
"7,3","0,23","0,34","9,3","0,052","0,99574","3,04","0,56",10,2
"6,4","0,38","0,26","8,2","0,043","0,99234","2,99","0,31","11,4",3
"6,4","0,25","0,3","5,5","0,038","0,9948","3,14","0,49","9,6",2
"5,3","0,585","0,07","7,1","0,044","0,9945","3,34","0,57","9,7",1
"6,8","0,23","0,48","1,5","0,036","0,99162","3,18","0,45","11,3",2
6,"0,24","0,41","1,3","0,036","0,99018","3,04","0,64","11,7333333333333",4
"7,1","0,21","0,33","1,2","0,039","0,99112","3,11","0,75","11,2",4
"7,3","0,14","0,49","1,1","0,038","0,9928","3,2","0,72","10,6",2
"6,9","0,56","0,26","10,9","0,06","0,9969","3,21","0,44","9,4",2
"6,2","0,25","0,38","7,9","0,045","0,99572","3,17","0,46","9,1",1
"5,7","0,28","0,24","17,5","0,044","0,9989","3,31","0,44","9,4",2
"6,4","0,14","0,28","7,9","0,057","0,99425","3,26","0,36",10,1
"6,4","0,25","0,57",1,"0,062","0,99238",3,"0,4","9,5",1
"6,7","0,22","0,39","1,2","0,049","0,99346","3,5","0,47",10,2
"7,4","0,2","0,37","1,2","0,028","0,99132","3,14","0,61","11,8",2
"6,3","0,41","0,3","3,2","0,03","0,9927","3,53","0,79","11,7",4
"7,5","0,27","0,36",7,"0,036","0,9939","3,03","0,33",11,2
"7,4","0,34","0,3","14,9","0,037","0,99698","3,25","0,37","10,4",1
"8,9","0,33","0,32","1,5","0,047","0,9954","3,19","0,46","9,4",3
"8,2","0,22","0,36","6,8","0,034","0,9944","3,01","0,38","10,5",2
"6,9","0,34","0,3","4,7","0,029","0,99165","3,36","0,49","12,3",4
"7,6","0,14","0,74","1,6","0,04","0,9916","3,07","0,4","10,8",3
"7,2","0,24","0,29",3,"0,036","0,99411","3,36","0,68","10,1",1
"7,5","0,33","0,38","8,7","0,126","0,99711","2,98","0,57","9,4",3
"6,3","0,13","0,42","1,1","0,043","0,99066","3,13","0,72","11,2",3
"6,2","0,31","0,23","3,3","0,052","0,99429","3,16","0,48","8,4",1
"7,2","0,19","0,39","1,2","0,036","0,9918","3,16","0,5","10,5",3
"6,9","0,44","0,42","8,5","0,048","0,9974","3,32","0,46","9,5",1
"5,7","0,21","0,32","0,9","0,038","0,99074","3,24","0,46","10,6",1
"8,1","0,31","0,36","8,2","0,028","0,9925","3,01","0,34",13,4
"7,6","0,24","0,44","3,8","0,037","0,9911","3,06","0,37","11,6",4
"8,4","0,27","0,3","2,2","0,037","0,99085","2,89","0,3","11,4666666666667",3
"7,2","0,14","0,35","1,2","0,036","0,9938","3,46","0,39","9,9",1
"6,3","0,39","0,35","5,9","0,04","0,9941","3,12","0,66","10,1",3
"4,8","0,13","0,32","1,2","0,042","0,9898","3,42","0,64","11,8",4
"5,7","0,23","0,28","9,65","0,025","0,9925","3,28","0,38","11,3",2
"6,4","0,26","0,26","1,1","0,052","0,99304","3,09","0,54","9,3",2
7,"0,17","0,42",1,"0,075","0,99103","3,32","0,62","11,4",3
6,"0,2","0,24","1,8","0,03","0,9909","3,31","0,47","11,5",3
"6,6","0,18","0,28","1,7","0,041","0,99207","3,13","0,45","10,2",2
"6,8","0,63","0,04","1,3","0,058","0,99271","3,17","0,39","10,2",2
6,"0,26","0,42","5,2","0,027","0,9914","3,4","0,4","12,3",4
"7,2","0,21",1,"1,1","0,154","0,9931","2,95","0,43","9,2",1
"6,3","0,23","0,49","7,1","0,05","0,9951","3,23","0,34","9,5",1
"6,7","0,16","0,37","1,3","0,036","0,98964","3,19","0,51","12,4",4
7,"0,29","0,54","10,7","0,046","0,9966","3,05","0,61","9,5",2
"5,7","0,43","0,3","5,7","0,039","0,992","3,54","0,61","12,3",3
"6,5","0,25","0,27","17,4","0,064","0,99776","3,2","0,49","10,1",1
"7,7","0,27","0,49","1,8","0,041","0,9914","3,16","0,42","12,5",3
"6,6","0,78","0,5","1,5","0,045","0,99104","3,25","0,48","11,7",4
"5,8","0,25","0,26","13,1","0,051","0,9972","3,29","0,38","9,3",3
"6,8","0,27","0,42","7,3","0,054","0,99556","3,12","0,49","9,4",3
"6,9","0,19","0,4","1,4","0,036","0,9909","3,08","0,68","11,5",4
"6,8","0,51","0,3","4,2","0,066","0,9945","3,2","0,42","9,1",3
"7,1","0,2","0,37","1,5","0,049","0,99226","3,15","0,52","10,8",3
"7,3","0,19","0,68","1,5","0,05","0,9946","3,32","0,64","9,4",1
"6,1","0,34","0,46","4,7","0,029","0,991","3,29","0,62","12,3",3
"6,1","0,41",0,"1,6","0,063","0,9914","3,27","0,67","10,8",3
"6,7","0,24","0,41","9,4","0,04","0,9954","3,12","0,61","9,9",1
"6,8","0,22","0,29","8,9","0,046","0,9955","3,3","0,44","10,3",3
"6,4","0,27","0,49","7,3","0,046","0,9956","3,24","0,43","9,2",1
"8,9","0,26","0,33","8,1","0,024","0,99558","3,13","0,46","10,8",2
"6,6","0,32","0,24","1,3","0,06","0,99512","3,59","0,51","9,2",3
"6,6","0,2","0,27","10,9","0,038","0,99496","3,11","0,44","10,5",2
"7,4","0,16","0,27","15,5","0,05","0,9984","2,9","0,43","8,7",2
6,"0,22","0,33","12,2","0,033","0,99356","3,17","0,42","11,3",4
"6,3","0,2","0,37","11,8","0,045","0,99519","3,2","0,35","10,8",3
"7,4","0,3","0,3","5,2","0,053","0,9941","3,12","0,45","10,3",2
6,"0,27","0,19","1,7","0,02","0,9898","3,32","0,47","12,6",3
"8,6","0,23","0,25","11,3","0,031","0,99645","3,11","0,4","10,8",3
"8,4","0,32","0,35","11,7","0,029","0,99439","3,02","0,34","11,8",4
"6,8","0,28","0,44","9,3","0,031","0,9946","3,16","0,36","10,4",1
"7,2","0,19","0,31","1,6","0,062","0,9917","3,35","0,44","11,7",4
"6,1","0,36","0,26","8,15","0,035","0,99031","3,06","0,27",13,4
"7,2","0,23","0,38","14,3","0,058","0,9979","3,09","0,44",9,2
"5,7","0,24","0,47","6,3","0,069","0,99391","3,11","0,46","9,75",2
"6,6","0,16","0,32","1,4","0,035","0,9906","3,35","0,64","12,4",3
"6,5","0,18","0,31","1,7","0,044","0,9928","3,49","0,5","10,2",1
"8,8","0,33","0,44","6,35","0,024","0,9917","2,96","0,4","12,6",4
"6,2","0,21","0,26","13,1","0,05","0,99772","3,31","0,46",9,1
"9,7","0,14","0,59","1,5","0,049","0,9958","2,98","0,62","9,5",2
"7,1","0,17","0,38","7,4","0,052","0,9958","3,35","0,52","9,6",2
